CURSOS,HORAS_MAX
INNOVACION COCINA INTERNACIONAL,6
ELAB BEBIDAS ALCOHOLICAS,3
ARTES VISUALES,2
LENGUAJE,2
RECEPECIÓN Y ALMACENAMIENTO,2
INGLES,2
BIOLOGIA,2
EXPRESION MUSICAL P,4
PREP MONTAJE BUFFET,5
EXPRESION LITERARIA,6
INNOVACION PASTERERIA Y,3
SIST OPERATIVOS REDES,4
PLANIF DE LA PRODUCCIÓN,2
ACTIVIDADES EDUCATIVAS,7
INST MANT BAS TERM INFORM,4
EMPRENDIMIENTO,2
RECREACION Y BIENESTAR DE,6
QUIMICA,2
ELABORACION DE MENU,5
OPER Y FUND TELECO,3
ED. FISICA,2
MANT CIRC ELECTRONICOS,4
COMUNIC INALAMBRICAS,6
FISICA,2
RELIGION,2
COCINA CHILENA,6
HIGIENE,3
ELAB PROD REPOSTERIA,3
HISTORIA,2
ELAB BAJA COMPLEJIDAD,6
SERVICIO COMEDOR,2
ELAB PASTAS Y MASAS,6
INST REDES TELEF CONVE,5
ED. TECNOLOGICA,2
MATEMATICAS,2
ELAB PROD PASTELERIA,6
SALUD EN PARVULO,4
INST CONFIG REDES,5
RELACION C/FAMILIA,2
MATERIAL DIDACTICO,6
MANT REDES ACCES BANDA,5
HIGIENE Y SEGURIDAD,2
TIC´S,2
DISEÑO Y PROGRAMACION,4
ALIMENTACION PARVULO,3
INST SERV BASICO TELCO,4
ACONDICIMIENTO FISICO,2
JEFATURA,2
